ID_Anuncio,Marca,Modelo,Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Carroceria,Preco_Real,Percentual_FIPE,Estado
69221077,TOYOTA,COROLLA,1.8 GLI 16V FLEX 4P AUTOMÁTICO,2016,2017.0,147000.0,Automática,Sedã,75000.0,92.0,São Paulo (SP)
68977274,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,39052.0,CVT,Sedã,127800.0,100.0,São Paulo (SP)
66026254,TOYOTA,COROLLA,2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2020,2021.0,64000.0,CVT,Sedã,136000.0,104.0,São Paulo (SP)
68184574,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,23000.0,CVT,Sedã,142900.0,112.0,São Paulo (SP)
69513476,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024.0,49000.0,Automática,Sedã,133800.0,94.0,São Paulo (SP)
68988915,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2024,2025.0,8000.0,Automática,Sedã,146790.0,102.0,São Paulo (SP)
68491892,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2021.0,162000.0,Automática,Sedã,110900.0,93.0,São Paulo (SP)
69388864,TOYOTA,COROLLA,1.8 GLI 16V FLEX 4P AUTOMÁTICO,2017,2018.0,73000.0,CVT,Sedã,88990.0,104.0,São Paulo (SP)
69441120,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,47000.0,CVT,Sedã,125000.0,98.0,São Paulo (SP)
68927295,TOYOTA,COROLLA,1.8 GLI 16V FLEX 4P AUTOMÁTICO,2017,2018.0,122000.0,CVT,Sedã,82000.0,96.0,São Paulo (SP)
68062380,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2014.0,140000.0,Automática,Sedã,74900.0,107.0,São Paulo (SP)
68879343,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2025,2025.0,17000.0,CVT,Sedã,143900.0,100.0,São Paulo (SP)
69508903,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2023,2023.0,26000.0,CVT,Sedã,149900.0,104.0,São Paulo (SP)
68768041,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2015.0,109388.0,Automática,Sedã,89900.0,110.0,São Paulo (SP)
68980596,TOYOTA,COROLLA,2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2014,2015.0,121000.0,Automática,Sedã,85000.0,102.0,São Paulo (SP)
68867136,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2023,2024.0,33359.0,Automática,Sedã,124880.0,99.0,São Paulo (SP)
68980067,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023.0,13102.0,CVT,Sedã,139890.0,110.0,São Paulo (SP)
68409829,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS CVT,2020,2021.0,124000.0,CVT,Sedã,121900.0,96.0,São Paulo (SP)
67638697,TOYOTA,COROLLA,2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2023,2023.0,41000.0,Automática,Sedã,144890.0,105.0,São Paulo (SP)
68010412,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2021,2022.0,60300.0,CVT,Sedã,124990.0,102.0,São Paulo (SP)
68976299,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,36793.0,Automática,Sedã,133900.0,105.0,São Paulo (SP)
